id_sensor,type,time,dayOfWeek,date,mean
45694,pm25,3,1,10/7/2023,5.51
10869234,loudeness,3,1,10/7/2023,38.91666667
40645,pm25,3,1,10/7/2023,5.480833333
40655,pm25,3,1,10/7/2023,6.091666667
10608112,loudeness,3,1,10/7/2023,53
10839718,loudeness,3,1,10/7/2023,64.16666667
22851,pm25,4,1,10/7/2023,8.704285714
44216,pm25,4,1,10/7/2023,8.428666667
32393,pm25,4,1,10/7/2023,8.054666667
40645,pm25,4,1,10/7/2023,5.525714286
60342,pm25,4,1,10/7/2023,8.583333333
59970,pm25,4,1,10/7/2023,7.515333333
32399,pm25,4,1,10/7/2023,6.625
39224,pm25,4,1,10/7/2023,4.109333333
40669,pm25,4,1,10/7/2023,8.175333333
40256,pm25,4,1,10/7/2023,5.555384615
43962,pm25,4,1,10/7/2023,6.804285714
70169,pm25,4,1,10/7/2023,7.892307692
24644,pm25,4,1,10/7/2023,7.952142857
57418,pm25,4,1,10/7/2023,9.182142857
45694,pm25,4,1,10/7/2023,5.309333333
55575,pm25,4,1,10/7/2023,8.407
50128,pm25,4,1,10/7/2023,6.488333333
10869234,loudeness,4,1,10/7/2023,57.83333333
10608112,loudeness,4,1,10/7/2023,51.41666667
10839718,loudeness,4,1,10/7/2023,42
32399,pm25,5,1,10/7/2023,6.996
10869234,loudeness,5,1,10/7/2023,54.75
10608112,loudeness,5,1,10/7/2023,41.25
10839718,loudeness,5,1,10/7/2023,54.16666667
70169,pm25,5,1,10/7/2023,8.0875
44216,pm25,5,1,10/7/2023,8.195
32393,pm25,5,1,10/7/2023,7.9675
40645,pm25,5,1,10/7/2023,5.3225
60342,pm25,5,1,10/7/2023,9.08
59970,pm25,5,1,10/7/2023,7.8925
39224,pm25,5,1,10/7/2023,3.9375
40669,pm25,5,1,10/7/2023,7.1975
24644,pm25,5,1,10/7/2023,7.63
55575,pm25,5,1,10/7/2023,8.793333333
43962,pm25,5,1,10/7/2023,6.265
57418,pm25,5,1,10/7/2023,9.1825
22851,pm25,5,1,10/7/2023,7.885
45694,pm25,5,1,10/7/2023,5.3075
50128,pm25,5,1,10/7/2023,5.7
40256,pm25,5,1,10/7/2023,5.098
10869234,loudeness,6,1,10/7/2023,60.08333333
10608112,loudeness,6,1,10/7/2023,63.33333333
10839718,loudeness,6,1,10/7/2023,72.66666667
59970,pm25,6,1,10/7/2023,7.7775
40669,pm25,6,1,10/7/2023,8.575
22851,pm25,6,1,10/7/2023,8.5
39224,pm25,6,1,10/7/2023,3.8
57418,pm25,6,1,10/7/2023,8.111666667
24644,pm25,6,1,10/7/2023,8.18
40256,pm25,6,1,10/7/2023,4.661666667
55575,pm25,6,1,10/7/2023,8.474444444
45694,pm25,6,1,10/7/2023,5.538333333
43962,pm25,6,1,10/7/2023,8.421666667
50128,pm25,6,1,10/7/2023,5.414444444
44216,pm25,6,1,10/7/2023,8.0625
32393,pm25,6,1,10/7/2023,7.635
32399,pm25,6,1,10/7/2023,6.951666667
40645,pm25,6,1,10/7/2023,5.77
70169,pm25,6,1,10/7/2023,8.053333333
60342,pm25,6,1,10/7/2023,9.06
70169,pm25,7,1,10/7/2023,7.883888889
50128,pm25,7,1,10/7/2023,5.029444444
10869234,loudeness,7,1,10/7/2023,63.58333333
10608112,loudeness,7,1,10/7/2023,44.91666667
10839718,loudeness,7,1,10/7/2023,42.91666667
32393,pm25,7,1,10/7/2023,8.317
40645,pm25,7,1,10/7/2023,4.5895
43962,pm25,7,1,10/7/2023,5.463333333
60342,pm25,7,1,10/7/2023,9.338
22851,pm25,7,1,10/7/2023,7.2935
55575,pm25,7,1,10/7/2023,8.684705882
59970,pm25,7,1,10/7/2023,8.275789474
39224,pm25,7,1,10/7/2023,3.7415
40669,pm25,7,1,10/7/2023,7.026
45694,pm25,7,1,10/7/2023,4.57
24644,pm25,7,1,10/7/2023,8.358095238
57418,pm25,7,1,10/7/2023,8.6185
40256,pm25,7,1,10/7/2023,4.125714286
32399,pm25,7,1,10/7/2023,6.830952381
44216,pm25,7,1,10/7/2023,7.494545455
