id_sensor,type,time,latitude,longitude,value
40655,pm25,2023-07-09T22:28:56.000Z,45.53940450000,9.23662630000,5.2
40655,pm25,2023-07-09T22:38:42.000Z,45.53940450000,9.23662630000,5.32
22851,pm25,2023-07-09T22:38:34.000Z,45.46,9.24,6.35
50128,pm25,2023-07-09T22:38:33.000Z,45.478,9.224,6
60342,pm25,2023-07-09T22:38:21.000Z,45.53606202812,9.22630280256,9.35
59970,pm25,2023-07-09T22:37:59.000Z,45.434,9.116,5.75
45694,pm25,2023-07-09T22:37:58.000Z,45.468,9.124,4.57
24644,pm25,2023-07-09T22:37:58.000Z,45.502,9.146,7.28
40256,pm25,2023-07-09T22:37:54.000Z,45.462,9.21,4.22
32399,pm25,2023-07-09T22:37:51.000Z,45.44,9.178,5.65
44216,pm25,2023-07-09T22:37:36.000Z,45.46168340766,9.18210272212,6.95
39224,pm25,2023-07-09T22:37:32.000Z,45.45397764666,9.20950412750,4.28
40645,pm25,2023-07-09T22:37:24.000Z,45.52589590000,9.22878860000,5.6
57418,pm25,2023-07-09T22:37:18.000Z,45.43433691627,9.10697758184,7.13
32393,pm25,2023-07-09T22:37:13.000Z,45.426,9.206,7.4
40669,pm25,2023-07-09T22:36:57.000Z,45.528,9.234,7.88
43962,pm25,2023-07-09T22:36:53.000Z,45.534,9.242,6.43
55575,pm25,2023-07-09T22:36:26.000Z,45.478,9.116,6.63
40655,pm25,2023-07-09T22:36:16.000Z,45.53940450000,9.23662630000,5.23
70169,pm25,2023-07-09T22:36:11.000Z,45.442,9.212,6.7
22851,pm25,2023-07-09T22:36:04.000Z,45.46,9.24,5.8
60342,pm25,2023-07-09T22:35:45.000Z,45.53606202812,9.22630280256,9.77
59970,pm25,2023-07-09T22:35:33.000Z,45.434,9.116,5.75
10869234,loudeness,2023-07-09T22:43:57.078Z,45.477977,9.227728,100
45694,pm25,2023-07-09T22:35:32.000Z,45.468,9.124,4.63
24644,pm25,2023-07-09T22:35:32.000Z,45.502,9.146,7.72
50128,pm25,2023-07-09T22:35:30.000Z,45.478,9.224,5.03
40256,pm25,2023-07-09T22:35:24.000Z,45.462,9.21,4.35
32399,pm25,2023-07-09T22:35:21.000Z,45.44,9.178,5.78
10608112,loudeness,2023-07-09T22:44:30.073Z,45.464081,9.192720,80
44216,pm25,2023-07-09T22:35:06.000Z,45.46168340766,9.18210272212,6.72
39224,pm25,2023-07-09T22:35:03.000Z,45.45397764666,9.20950412750,4.5
10839718,loudeness,2023-07-09T22:44:51.050Z,45.485711,9.148767,50
40645,pm25,2023-07-09T22:34:57.000Z,45.52589590000,9.22878860000,4.82
57418,pm25,2023-07-09T22:34:51.000Z,45.43433691627,9.10697758184,6.53
32393,pm25,2023-07-09T22:34:47.000Z,45.426,9.206,6.82
40669,pm25,2023-07-09T22:34:31.000Z,45.528,9.234,6.93
40655,pm25,2023-07-09T22:43:33.000Z,45.53940450000,9.23662630000,4.97
22851,pm25,2023-07-09T22:43:28.000Z,45.46,9.24,6.28
60342,pm25,2023-07-09T22:43:13.000Z,45.53606202812,9.22630280256,8.88
59970,pm25,2023-07-09T22:42:55.000Z,45.434,9.116,5.9
24644,pm25,2023-07-09T22:42:53.000Z,45.502,9.146,7.88
44216,pm25,2023-07-09T22:42:53.000Z,45.46168340766,9.18210272212,7.07
45694,pm25,2023-07-09T22:42:52.000Z,45.468,9.124,5.2
40256,pm25,2023-07-09T22:42:50.000Z,45.462,9.21,4.28
32399,pm25,2023-07-09T22:42:46.000Z,45.44,9.178,5.4
39224,pm25,2023-07-09T22:42:37.000Z,45.45397764666,9.20950412750,3.75
55575,pm25,2023-07-09T22:42:29.000Z,45.478,9.116,7.28
70169,pm25,2023-07-09T22:42:19.000Z,45.442,9.212,6.82
40645,pm25,2023-07-09T22:42:15.000Z,45.52589590000,9.22878860000,5.2
57418,pm25,2023-07-09T22:42:10.000Z,45.43433691627,9.10697758184,6.53
32393,pm25,2023-07-09T22:42:07.000Z,45.426,9.206,6.53
43962,pm25,2023-07-09T22:41:54.000Z,45.534,9.242,7.1
40669,pm25,2023-07-09T22:41:48.000Z,45.528,9.234,8.2
50128,pm25,2023-07-09T22:41:35.000Z,45.478,9.224,5.05
40655,pm25,2023-07-09T22:41:08.000Z,45.53940450000,9.23662630000,5.37
22851,pm25,2023-07-09T22:41:01.000Z,45.46,9.24,6.38
60342,pm25,2023-07-09T22:40:48.000Z,45.53606202812,9.22630280256,8.82
59970,pm25,2023-07-09T22:40:29.000Z,45.434,9.116,5.63
10869234,loudeness,2023-07-09T22:48:57.088Z,45.477977,9.227728,72
24644,pm25,2023-07-09T22:40:26.000Z,45.502,9.146,7.1
45694,pm25,2023-07-09T22:40:25.000Z,45.468,9.124,4.5
44216,pm25,2023-07-09T22:40:22.000Z,45.46168340766,9.18210272212,7.15
39224,pm25,2023-07-09T22:39:59.000Z,45.45397764666,9.20950412750,4.22
10608112,loudeness,2023-07-09T22:49:30.090Z,45.464081,9.192720,63
40645,pm25,2023-07-09T22:39:50.000Z,45.52589590000,9.22878860000,5.22
57418,pm25,2023-07-09T22:39:44.000Z,45.43433691627,9.10697758184,6.78
10839718,loudeness,2023-07-09T22:49:51.065Z,45.485711,9.148767,2
32393,pm25,2023-07-09T22:39:41.000Z,45.426,9.206,7.5
55575,pm25,2023-07-09T22:39:27.000Z,45.478,9.116,7.32
40669,pm25,2023-07-09T22:39:22.000Z,45.528,9.234,7.72
70169,pm25,2023-07-09T22:39:15.000Z,45.442,9.212,6.8
55575,pm25,2023-07-09T22:48:33.000Z,45.478,9.116,7.22
70169,pm25,2023-07-09T22:48:29.000Z,45.442,9.212,7.4
40655,pm25,2023-07-09T22:48:25.000Z,45.53940450000,9.23662630000,5.13
22851,pm25,2023-07-09T22:48:24.000Z,45.46,9.24,6.28
44216,pm25,2023-07-09T22:48:08.000Z,45.46168340766,9.18210272212,6.75
60342,pm25,2023-07-09T22:48:04.000Z,45.53606202812,9.22630280256,8.63
40256,pm25,2023-07-09T22:47:59.000Z,45.462,9.21,4.3
59970,pm25,2023-07-09T22:47:53.000Z,45.434,9.116,5.55
45694,pm25,2023-07-09T22:47:50.000Z,45.468,9.124,5.15
24644,pm25,2023-07-09T22:47:50.000Z,45.502,9.146,7.53
32399,pm25,2023-07-09T22:47:40.000Z,45.44,9.178,6.35
50128,pm25,2023-07-09T22:47:39.000Z,45.478,9.224,20.73
39224,pm25,2023-07-09T22:47:29.000Z,45.45397764666,9.20950412750,4.2
40645,pm25,2023-07-09T22:47:12.000Z,45.52589590000,9.22878860000,4.9
57418,pm25,2023-07-09T22:47:03.000Z,45.43433691627,9.10697758184,6.68
32393,pm25,2023-07-09T22:46:58.000Z,45.426,9.206,7.3
43962,pm25,2023-07-09T22:46:56.000Z,45.534,9.242,6.45
40669,pm25,2023-07-09T22:46:40.000Z,45.528,9.234,7.9
40655,pm25,2023-07-09T22:45:59.000Z,45.53940450000,9.23662630000,5.27
22851,pm25,2023-07-09T22:45:55.000Z,45.46,9.24,5.78
60342,pm25,2023-07-09T22:45:39.000Z,45.53606202812,9.22630280256,8.82
55575,pm25,2023-07-09T22:45:30.000Z,45.478,9.116,7.88
59970,pm25,2023-07-09T22:45:25.000Z,45.434,9.116,6.13
70169,pm25,2023-07-09T22:45:24.000Z,45.442,9.212,7.03
10869234,loudeness,2023-07-09T22:53:57.112Z,45.477977,9.227728,12
44216,pm25,2023-07-09T22:45:20.000Z,45.46168340766,9.18210272212,6.68
24644,pm25,2023-07-09T22:45:20.000Z,45.502,9.146,8
45694,pm25,2023-07-09T22:45:20.000Z,45.468,9.124,4.57
